descrizione,torso_dorsi_muscle,torso_pectoral_muscle,muscle,age,weight,height,african,asian,caucasian,proportions,breast_size,breast_firmness,vertical_position,gender,horizontal_distance,pointiness,breast_volume,nipple_size,nipple_point,face_head_fat,face_angle,face_oval,face_round,face_rectangular,face_square,face_triangular,face_invertedtriangular,face_diamond,face_age,torso_scale_depht,torso_scale_horizontally,torso_scale_vertically,torso_move_horizontally,torso_move_depht,torso_scale_cone_shape,fingers_distance,fingers_diameter,fingers_lenght,scale_hand,hand_position,neck_circum,neck_height
"Crea un uomo anziano, basso, snello e di etnia caucasica",30,30,40,70,50,170,0,0,100,65,60,50,40,2,40,30,50,20,30,50,50,30,0,0,0,0,0,0,70,50,50,60,50,50,50,50,50,50.0,50.0,40.0,60.0,50.0
"Crea una donna alta, snella, di etnia asiatica, con un viso triangolare",30,30,45,26,60,180,100,0,100,50,70,60,50,0,40,30,40,30,40,20,30,40,0,0,0,50,0,0,26,60,60,80,50,60,50,50,50,50.0,40.0,60.0,60.0,50.0
"Crea un ragazzo giovane, di corporatura media, etnia africana, con viso quadrato e caratteristiche muscolose.",50,40,70,30,80,180,100,0,100,70,50,60,50,2,40,30,60,20,40,60,50,0,0,0,50,0,0,0,30,70,70,60,60,60,50,50,60,50.0,60.0,50.0,40.0,50.0
"Crea una donna adulta, con altezza media, etnia caucasica, viso quadrato e corporatura snella.",30,30,40,35,70,160,0,0,100,60,70,60,40,0,40,40,60,30,50,40,50,0,0,0,50,0,0,0,35,60,50,60,50,60,60,50,50,40.0,50.0,50.0,60.0,50.0
"Crea un uomo giovane, di corporatura robusta, di etnia asiatica, con viso quadrato",60,60,60,26,85,180,0,100,0,75,80,60,50,2,60,50,50,30,40,40,60,0,0,0,50,0,0,0,26,60,70,80,60,60,60,60,50,50.0,50.0,60.0,50.0,60.0
"Crea una figura neutra giovane, di altezza media, corporatura snella, etnia asiatica, con un viso ovale.",30,30,40,20,50,170,0,100,0,50,50,50,50,1,40,40,50,30,50,40,50,50,0,0,0,0,0,0,20,50,50,60,40,50,50,40,40,40.0,40.0,50.0,40.0,40.0
"Crea una figura neutra adulta, alta, di corporatura media, etnia africana, con un viso triangolare.",50,40,65,35,70,180,100,0,0,60,40,40,50,1,50,50,60,20,30,40,60,0,0,50,0,0,0,0,35,60,60,70,60,60,50,50,50,50.0,40.0,60.0,50.0,50.0
"Crea una figura neutra matura, bassa, di corporatura robusta, etnia caucasica, con un viso quadrato.",60,60,60,50,85,160,0,0,100,70,30,30,40,1,50,40,50,20,30,50,50,30,0,0,0,0,0,0,50,50,50,50,40,50,50,50,40,40.0,50.0,50.0,30.0,50.0
"Crea una figura neutra giovane, di altezza media, muscolosa, etnia africana, con un viso rettangolare.",80,80,70,25,75,175,100,0,0,65,40,50,60,1,50,40,50,30,50,50,60,0,0,50,0,0,0,0,25,60,70,70,50,60,60,60,50,50.0,60.0,60.0,60.0,50.0
"Crea una figura neutra giovane, di altezza media, proporzioni delicate, etnia asiatica, con un viso ovale.",40,30,50,20,60,165,0,100,0,50,50,50,50,1,30,30,40,20,30,40,50,50,0,30,0,0,0,0,20,40,50,60,40,50,50,40,40,40.0,40.0,50.0,40.0,40.0
"Crea un uomo adulto, alto, di corporatura robusta, etnia africana, con spalle larghe e volto rettangolare.",60,60,60,40,95,185,100,0,0,70,30,70,50,2,60,40,60,30,50,30,70,0,0,60,0,0,0,0,40,70,80,80,70,70,60,60,50,60.0,50.0,70.0,60.0,60.0
"Crea una donna giovane, bassa, atletica, di etnia asiatica, con viso ovale e proporzioni armoniose.",50,40,45,22,50,160,0,100,0,60,50,70,50,0,40,30,50,30,50,40,40,50,0,0,0,0,0,0,22,50,50,70,50,50,60,50,50,40.0,50.0,50.0,50.0,50.0
"Crea una ragazza giovane, snella, di altezza media, etnia caucasica, con lineamenti delicati.",30,30,40,21,50,165,0,0,100,40,60,50,50,0,30,30,40,20,30,30,40,30,0,0,0,0,0,0,21,40,40,50,50,50,50,50,50,40.0,40.0,40.0,40.0,40.0
"Crea un uomo maturo, di altezza media, con corporatura normale, etnia asiatica, e viso rettangolare.",50,50,50,45,75,175,0,100,0,60,40,40,50,2,40,30,60,20,40,50,50,0,0,0,50,0,0,0,45,50,60,60,50,50,50,50,50,50.0,50.0,50.0,50.0,50.0
"Crea una donna anziana, di altezza media, con corporatura robusta, etnia africana, e un viso rotondo.",60,60,60,65,70,165,100,0,0,50,40,30,40,0,40,30,40,30,40,30,30,40,50,0,0,0,0,0,65,50,60,50,50,60,50,50,50,50.0,50.0,50.0,40.0,50.0
"Crea un ragazzo giovane, alto, atletico, di etnia caucasica, con spalle larghe e volto ovale.",50,50,70,23,65,180,0,0,100,60,50,60,50,2,50,40,60,30,50,40,60,0,0,50,0,0,0,0,23,60,70,70,60,60,50,50,50,50.0,60.0,60.0,50.0,50.0
"Crea una figura neutra matura, alta, di corporatura robusta, etnia africana, con un viso rettangolare.",60,60,60,50,85,185,100,0,0,65,40,40,50,1,50,50,60,20,30,40,60,0,0,50,0,0,0,0,50,60,60,70,60,60,60,60,60,50.0,50.0,60.0,50.0,50.0
"Crea una figura neutra giovane, bassa, snella, di etnia asiatica, con un viso ovale e caratteristiche delicate.",30,30,40,19,45,160,0,100,0,40,30,30,40,1,30,30,30,20,30,30,40,30,0,0,0,0,0,0,19,40,40,50,50,50,50,40,40,40.0,40.0,40.0,40.0,40.0
"Crea una donna adulta, alta, muscolosa, di etnia asiatica, con spalle larghe e viso triangolare.",70,70,70,30,75,180,0,100,0,70,60,60,50,0,40,40,60,30,50,50,40,40,0,0,0,50,0,0,30,60,70,80,50,50,60,50,50,50.0,50.0,60.0,50.0,50.0
"Crea un uomo anziano, basso, con corporatura snella, etnia caucasica, e viso allungato.",30,30,40,68,60,160,0,0,100,50,30,30,50,2,40,30,50,20,30,40,40,30,0,0,0,0,0,0,68,40,50,50,40,50,40,40,50,40.0,40.0,40.0,30.0,40.0
"Genera un uomo giovane con pelle bianca, corpo atletico, mani grandi e collo muscoloso, età 25, peso 75kg, altezza 180cm.",65,65,60,25,75,180,0,0,100,80,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,30,0,0,25,40,50,50,30,50,40,60,40,50.0,65.0,50.0,70.0,50.0
"Genera una donna giovane con pelle bianca, viso ovale, busto tonico, età 22, peso 60kg, altezza 170cm.",40,50,65,22,60,170,0,0,100,75,50,60,60,0,40,40,50,20,40,50,50,50,0,0,0,0,0,0,22,40,50,50,20,50,30,50,30,40.0,40.0,40.0,50.0,50.0
"Genera una persona di genere neutro con pelle bianca, viso quadrato, età 30, peso 85kg, altezza 185cm.",50,50,50,30,85,185,0,0,100,85,0,50,50,1,40,40,50,20,40,40,50,0,0,50,0,0,0,0,30,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Genera un uomo adulto con pelle bianca, viso triangolare, corpo muscoloso età 35, peso 90kg, altezza 190cm.",80,80,95,35,90,190,0,0,100,92,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,0,50,0,35,50,50,50,40,50,40,60,40,50.0,45.0,50.0,50.0,50.0
"Genera una donna adulta con pelle bianca, viso a forma di diamante, busto scolpito, età 28, peso 68kg, altezza 172cm.",70,70,70,28,68,172,0,0,100,75,50,60,60,0,40,40,50,20,40,50,50,0,0,0,0,0,0,50,28,40,50,50,20,50,30,50,30,40.0,40.0,40.0,50.0,50.0
"Genera una persona di genere neutro con pelle bianca, viso rettangolare, spalle larghe e vita snella, età 29, peso 78kg, altezza 180cm.",50,50,60,29,78,180,0,0,100,80,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,29,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Genera un uomo giovane con pelle bianca, viso rotondo, corpo scolpito e collo muscoloso, età 23, peso 72kg, altezza 175cm.",80,80,80,23,72,175,0,0,100,78,0,50,50,2,40,40,50,20,40,40,50,0,50,0,0,0,0,0,23,50,50,50,40,50,40,60,40,50.0,45.0,50.0,70.0,50.0
"Genera una donna adulta con pelle bianca, viso triangolare, busto snodato e vita sottile, età 33, peso 63kg, altezza 168cm.",40,40,40,33,63,168,0,0,100,70,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,50,0,33,40,50,50,20,50,30,50,30,40.0,40.0,40.0,50.0,50.0
"Genera una persona di genere neutro con pelle bianca, viso ovale, mani piccole, età 26, peso 68kg, altezza 178cm.",40,50,50,26,68,178,0,0,100,75,0,50,50,1,40,40,50,20,40,50,50,50,0,0,0,0,0,0,26,40,50,50,20,50,30,50,30,40.0,30.0,40.0,50.0,50.0
"Genera un uomo adulto con pelle bianca, viso quadrato, corpo scolpito e mani larghe, età 40, peso 95kg, altezza 188cm.",80,80,80,40,95,188,0,0,100,95,0,50,50,2,40,40,50,20,40,40,50,0,0,50,0,0,0,0,40,50,50,50,40,50,40,60,40,50.0,45.0,50.0,50.0,50.0
"Crea un uomo adulto con pelle bianca, corpo atletico e spalle larghe, età 30, peso 85kg, altezza 185cm.",65,60,60,30,85,185,0,0,100,85,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,0,0,0,30,50,50,50,40,50,40,60,40,50.0,45.0,50.0,50.0,50.0
"Genera una donna giovane con pelle bianca, busto tonico, età 24, peso 62kg, altezza 170cm.",40,50,60,24,62,170,0,0,100,70,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,0,0,24,40,50,50,30,50,40,50,30,40.0,40.0,40.0,50.0,50.0
"Crea una persona di genere neutro con pelle bianca, muscoloso, mani grandi, età 28, peso 78kg, altezza 180cm.",80,80,80,28,78,180,0,0,100,80,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,28,50,50,50,40,50,40,50,40,50.0,65.0,50.0,50.0,50.0
"Genera un uomo giovane con pelle bianca, corpo muscoloso, età 27, peso 82kg, altezza 182cm.",80,80,80,27,82,182,0,0,100,85,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,0,0,0,27,50,50,50,40,50,40,60,40,50.0,45.0,50.0,50.0,50.0
"Crea una donna adulta con pelle bianca, busto scolpito, età 32, peso 65kg, altezza 172cm.",70,70,75,32,65,172,0,0,100,72,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,0,0,32,40,50,50,30,50,40,50,30,40.0,40.0,40.0,50.0,50.0
"Genera una persona di genere neutro con pelle bianca, busto tonico, età 29, peso 76kg, altezza 178cm.",60,60,60,29,76,178,0,0,100,78,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,29,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Crea un uomo adulto con pelle bianca, busto ampio, età 40, peso 95kg, altezza 190cm.",50,60,65,40,95,190,0,0,100,90,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,0,0,0,40,50,50,50,40,50,40,60,40,50.0,45.0,50.0,50.0,50.0
"Genera una donna giovane con pelle bianca, età 23, peso 58kg, altezza 168cm.",40,50,50,23,58,168,0,0,100,68,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,0,0,23,40,50,50,30,50,40,50,30,40.0,40.0,40.0,50.0,50.0
"Crea una persona di genere neutro con pelle bianca, vita snella e mani proporzionate, età 26, peso 70kg, altezza 175cm.",30,30,30,26,70,175,0,0,100,72,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,26,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Genera un uomo giovane con pelle bianca, età 28, peso 80kg, altezza 180cm.",50,60,50,28,80,180,0,0,100,82,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,0,0,0,28,50,50,50,40,50,40,60,40,50.0,45.0,50.0,50.0,50.0
"Crea una donna adulta con pelle bianca, busto proporzionato, età 35, peso 66kg, altezza 170cm.",40,50,50,35,66,170,0,0,100,70,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,0,0,35,40,50,50,30,50,40,50,30,40.0,40.0,40.0,50.0,50.0
"Genera una persona di genere neutro con pelle bianca, corpo atletico e spalle ben definite, età 31, peso 77kg, altezza 178cm.",65,65,70,31,77,178,0,0,100,78,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,31,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Crea un uomo adulto con etnia caucasica, spalle larghe e corpo muscoloso, età 34, peso 90kg, altezza 188cm.",80,80,90,34,90,188,0,0,100,92,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,0,0,0,34,50,50,50,40,50,40,60,40,50.0,45.0,50.0,50.0,50.0
"Genera una donna giovane con pelle bianca, busto proporzionato, età 25, peso 60kg, altezza 170cm.",40,50,50,25,60,170,0,0,100,68,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,0,0,25,40,50,50,30,50,40,50,30,40.0,40.0,40.0,50.0,50.0
"Crea una persona di genere neutro con etnia caucasica, busto scolpito e mani proporzionate, età 29, peso 75kg, altezza 178cm.",80,80,80,29,75,178,0,0,100,80,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,29,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Genera un uomo giovane con pelle chiara, corpo atletico, età 27, peso 85kg, altezza 185cm.",60,60,60,27,85,185,0,0,100,85,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,0,0,0,27,50,50,50,40,50,40,60,40,50.0,45.0,50.0,50.0,50.0
"Crea una donna adulta con etnia caucasica, busto tonico e vita snella, età 33, peso 64kg, altezza 172cm.",40,50,65,33,64,172,0,0,100,70,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,0,0,33,40,50,50,30,50,40,50,30,40.0,40.0,40.0,50.0,50.0
"Genera una persona di genere neutro con pelle bianca, età 30, peso 80kg, altezza 180cm.",50,50,85,30,80,180,0,0,100,82,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,30,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Genera una donna giovane con etnia caucasica,busto proporzionato, età 24, peso 58kg, altezza 168cm.",40,50,50,24,58,168,0,0,100,68,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,0,0,24,40,50,50,30,50,40,50,30,40.0,40.0,40.0,50.0,50.0
"Crea una persona di genere neutro con pelle chiara, busto scolpito, età 32, peso 78kg, altezza 178cm.",80,80,80,32,78,178,0,0,100,78,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,32,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Genera un uomo giovane con etnia caucasica, busto tonico e mani grandi, età 26, peso 80kg, altezza 180cm.",50,60,65,26,80,180,0,0,100,82,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,0,0,0,26,50,50,50,40,50,40,60,40,50.0,65.0,50.0,50.0,50.0
"Crea una donna adulta con pelle chiara, busto scolpito e vita proporzionata, età 36, peso 67kg, altezza 170cm.",70,70,80,36,67,170,0,0,100,70,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,0,0,36,40,50,50,30,50,40,50,30,40.0,40.0,40.0,50.0,50.0
"Genera una persona di genere neutro con etnia caucasica età 28, peso 76kg, altezza 177cm.",50,50,50,28,76,177,0,0,100,78,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,28,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Genera una donna giovane con pelle scura, busto snello e vita proporzionata, età 25, peso 60kg, altezza 162cm.",30,30,40,25,60,162,90,0,10,63,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,0,0,25,40,50,50,30,50,40,50,30,40.0,40.0,40.0,50.0,50.0
"Crea una persona di genere neutro con pelle chiara, corpo tonico e spalle definite, età 32, peso 75kg, altezza 170cm.",50,50,60,32,75,170,0,0,100,76,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,32,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Genera un uomo giovane con pelle chiara, mani grandi, età 28, peso 80kg, altezza 178cm.",50,60,50,28,80,178,0,0,100,82,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,0,0,0,28,50,50,50,40,50,40,60,40,50.0,65.0,50.0,50.0,50.0
"Crea una donna adulta con etnia asiatica, e busto tonico, età 36, peso 64kg, altezza 168cm.",40,50,60,36,64,168,0,100,0,66,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,0,0,36,40,50,50,30,50,40,50,30,40.0,40.0,40.0,50.0,50.0
"Genera una persona di genere neutro con pelle olivastra, busto scolpito e mani lunghe, età 34, peso 73kg, altezza 175cm.",80,80,80,34,73,175,40,40,20,75,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,34,50,50,50,40,50,40,50,40,65.0,50.0,50.0,50.0,50.0
"Crea un uomo adulto con pelle scura, spalle larghe e gambe robuste, età 42, peso 92kg, altezza 185cm.",50,60,65,42,92,185,95,0,5,90,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,0,0,0,42,50,50,50,40,50,40,60,40,50.0,45.0,50.0,50.0,50.0
"Genera una donna giovane con pelle chiara, busto proporzionato, età 27, peso 59kg, altezza 164cm.",40,50,50,27,59,164,0,0,100,63,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,0,0,27,40,50,50,30,50,40,50,30,40.0,40.0,40.0,50.0,50.0
"Crea una persona di genere neutro con etnia africana, corpo atletico, età 29, peso 76kg, altezza 173cm.",60,60,60,29,76,173,100,0,0,75,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,29,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Genera un uomo giovane con pelle chiara, corpo snello e spalle larghe, età 26, peso 72kg, altezza 180cm.",30,30,40,26,72,180,0,0,100,78,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,0,0,0,26,50,50,50,40,50,40,60,40,50.0,45.0,50.0,50.0,50.0
"Crea una persona di genere neutro con pelle olivastra, vita snella, età 30, peso 74kg, altezza 176cm.",30,30,40,30,74,176,30,30,40,75,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,30,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Genera una donna adulta con pelle chiara, busto snello e mani affusolate, età 34, peso 62kg, altezza 168cm.",30,30,55,34,62,168,0,0,100,65,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,0,0,34,40,50,50,30,50,40,50,30,40.0,40.0,40.0,50.0,50.0
"Genera un uomo adulto con pelle scura, busto ampio, età 38, peso 88kg, altezza 182cm.",50,60,80,38,88,182,90,0,10,88,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,0,0,0,38,50,50,50,40,50,40,60,40,50.0,45.0,50.0,50.0,50.0
"Crea una persona di genere neutro con pelle chiara, busto scolpito, età 28, peso 78kg, altezza 175cm.",80,80,80,28,78,175,0,0,100,78,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,28,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Genera una donna giovane con pelle scura, busto proporzionato e vita tonica, età 26, peso 61kg, altezza 165cm.",40,50,45,26,61,165,85,0,15,64,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,0,0,26,40,50,50,30,50,40,50,30,40.0,40.0,40.0,50.0,50.0
"Genera un uomo giovane con pelle chiara,mani grandi, età 29, peso 82kg, altezza 185cm.",50,60,75,29,82,185,0,0,100,85,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,0,0,0,29,50,50,50,40,50,40,60,40,50.0,45.0,50.0,50.0,50.0
"Crea una persona di genere neutro con pelle olivastra, corpo atletico e spalle ampie, età 31, peso 79kg, altezza 178cm.",50,50,70,31,79,178,40,40,20,77,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,31,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Genera una donna adulta con pelle chiara, busto scolpito e mani delicate, età 37, peso 66kg, altezza 170cm.",70,70,80,37,66,170,0,0,100,70,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,0,0,37,40,50,50,30,50,40,50,30,40.0,40.0,40.0,50.0,50.0
"Genera un uomo adulto con pelle olivastra, busto ampio, età 40, peso 90kg, altezza 188cm.",50,60,85,40,90,188,40,30,30,90,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,0,0,0,40,50,50,50,40,50,40,60,40,50.0,45.0,50.0,50.0,50.0
"Crea una persona di genere neutro con pelle scura, busto scolpito e vita proporzionata, età 33, peso 76kg, altezza 174cm.",80,80,80,33,76,174,95,0,5,76,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,33,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Crea una persona di genere neutro con etnia africana, muscolatura tonica, età 30, peso 78kg, altezza 175cm.",70,70,70,30,78,175,100,0,0,76,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,30,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Crea un uomo adulto con etnia asiatica, muscolatura scolpita, età 38, peso 85kg, altezza 180cm.",80,80,80,38,85,180,0,100,0,83,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,0,0,0,38,50,50,50,40,50,40,60,40,50.0,45.0,50.0,50.0,50.0
"Crea una donna giovane con etnia caucasica, muscolatura proporzionata, età 24, peso 60kg, altezza 165cm.",60,60,60,24,60,165,0,0,100,64,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,0,0,24,40,50,50,30,50,40,50,30,40.0,40.0,40.0,50.0,50.0
"Crea una persona di genere neutro con etnia europea, muscolatura atletica, età 32, peso 77kg, altezza 178cm.",60,60,75,32,77,178,0,0,100,79,0,50,50,1,40,40,50,20,40,40,50,0,0,0,0,0,0,0,32,50,50,50,40,50,40,50,40,50.0,40.0,50.0,50.0,50.0
"Crea un uomo giovane con etnia africana, muscolatura possente, età 27, peso 90kg, altezza 185cm.",90,90,90,27,90,185,100,0,0,88,0,50,50,2,40,40,50,20,40,40,50,0,0,0,0,0,0,0,27,50,50,50,40,50,40,60,40,50.0,45.0,50.0,50.0,50.0
"Crea una donna adulta con etnia asiatica, muscolatura snella, età 35, peso 62kg, altezza 170cm.",30,30,40,35,62,170,0,100,0,65,50,60,60,0,40,40,50,20,40,40,50,0,0,0,0,0,0,0,35,40,50,50,30,50,40,50,30,40.0,40.0,40.0,50.0,50.0
